N,P,K,temperature,humidity,ph,rainfall,crop,region,season,soil_texture,historical_yield,market_price,estimated_profit,moisture,moisture_category,season_encoded
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Tamil Nadu,Monsoon,Loamy,3.7619291978041143,2731.6973553098906,102764.5204050456,82.00274423,High,2
85.1928931840408,49.52400491207306,42.586875090794116,19.20970728743546,83.10219218527739,6.3808004149723905,208.05620101612362,rice,Tamil Nadu,Monsoon,Loamy,3.2283130747885878,2764.15335116184,102890.23303354884,74.28976781395892,High,2
85.99886620581537,47.32985060368786,37.37377971137905,23.02880529061282,79.64012816773817,6.267931557259549,212.68366513467487,rice,Tamil Nadu,Monsoon,Loamy,3.5982638401828595,2804.0549149891262,109798.54137647674,88.10759536500463,High,2
92.66735409078767,47.99166655870749,41.04961282620347,23.78525873536827,73.17755813634575,6.608424637619972,204.14156554961224,rice,Tamil Nadu,Monsoon,Loamy,3.1939377996048837,2614.31773670188,99256.03089989585,83.76047473409251,High,2
96.50289141991045,45.801622694326504,49.669075337161246,22.002259084006848,85.76194846821696,5.848724521775894,191.97855873663426,rice,Tamil Nadu,Monsoon,Loamy,3.644320844567832,2799.899462591761,97759.86278756507,84.99276630546998,High,2
94.82301994949276,50.936938249528765,43.34255187914251,19.149581934529056,81.90212448222051,6.901058146998389,192.58587752601233,rice,Tamil Nadu,Monsoon,Loamy,4.131349765484394,2697.5528312643482,103129.58852428192,75.46982229161631,High,2
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,rice,Tamil Nadu,Monsoon,Loamy,4.431370927641264,1863.419229230116,82575.01798418029,80.31964408,High,2
82.33342341645995,66.98129635851357,39.344287216496696,20.25378736522858,79.10214883074316,7.207898680856516,217.69189603001317,rice,Tamil Nadu,Monsoon,Loamy,4.900479368078406,1522.9253237269327,85286.00224405875,86.4847057413379,High,2
84.03408794126578,57.73015882393097,38.7102359079304,20.231634600030688,81.06515396284168,6.938190305052161,262.77546803915044,rice,Tamil Nadu,Monsoon,Loamy,4.1622077539147675,1471.04809976564,82828.18093552098,75.76736635133219,High,2
90.84736760685604,64.8242078601295,38.934351334500924,21.199246573065057,78.35153076597467,7.793247729172511,187.26216408560737,rice,Tamil Nadu,Monsoon,Loamy,4.404534482732864,2334.741506323672,86211.25415583058,73.0410792873744,High,2
88.08450327740215,55.000549637920635,39.168114057715144,21.447227725796857,81.5809253968965,6.85528312620026,254.85973063224316,rice,Tamil Nadu,Monsoon,Loamy,4.461740327641737,1782.9649677430314,86566.03057745553,73.63044203225662,High,2
